kernel_xy_size: 67, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
9.491000	51
8.984000	51
9.065000	51
9.046000	51
8.955000	51
9.003000	51
9.250000	51
9.123000	51
9.166000	51
8.911000	51
26.899000	102
26.600000	102
26.248000	102
26.830000	102
26.446000	102
26.472000	102
26.614000	102
26.226000	102
26.396000	102
26.486000	102
54.323000	153
54.770000	153
54.355000	153
54.330000	153
54.342000	153
54.386000	153
53.948000	153
54.496000	153
54.533000	153
54.493000	153
93.068000	204
92.965000	204
93.325000	204
92.826000	204
93.006000	204
93.045000	204
93.164000	204
93.166000	204
93.073000	204
93.507000	204
143.959000	256
143.413000	256
143.451000	256
143.615000	256
153.775000	256
143.532000	256
143.585000	256
143.094000	256
143.607000	256
143.951000	256
210.195000	307
209.467000	307
209.842000	307
209.821000	307
210.410000	307
210.387000	307
210.034000	307
209.957000	307
210.563000	307
210.764000	307
294.708000	358
293.411000	358
293.576000	358
293.505000	358
295.849000	358
294.417000	358
292.089000	358
295.197000	358
294.499000	358
293.497000	358
377.799000	409
377.242000	409
376.795000	409
376.464000	409
376.787000	409
377.330000	409
376.138000	409
377.061000	409
376.200000	409
376.189000	409
480.925000	460
482.326000	460
479.784000	460
480.901000	460
480.776000	460
480.792000	460
480.330000	460
479.514000	460
479.933000	460
480.156000	460
610.787000	512
612.045000	512
611.615000	512
611.523000	512
611.139000	512
611.541000	512
610.755000	512
610.763000	512
611.061000	512
612.493000	512
