kernel_xy_size: 31, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
8.281000	51
8.134000	51
8.127000	51
8.153000	51
8.592000	51
8.141000	51
8.149000	51
8.139000	51
8.158000	51
8.130000	51
24.896000	102
24.910000	102
24.861000	102
24.848000	102
24.803000	102
24.933000	102
24.831000	102
24.853000	102
24.817000	102
24.843000	102
51.760000	153
51.763000	153
51.813000	153
51.825000	153
51.775000	153
51.885000	153
51.754000	153
51.726000	153
51.688000	153
51.701000	153
88.882000	204
88.889000	204
88.961000	204
88.826000	204
88.860000	204
88.804000	204
88.850000	204
88.957000	204
88.817000	204
88.852000	204
137.792000	256
176.859000	256
137.794000	256
137.891000	256
137.786000	256
137.937000	256
137.819000	256
137.916000	256
137.776000	256
137.866000	256
201.196000	307
201.177000	307
201.253000	307
201.160000	307
201.119000	307
256.459000	307
201.426000	307
201.164000	307
201.184000	307
201.318000	307
277.604000	358
277.764000	358
277.578000	358
277.593000	358
277.645000	358
277.445000	358
277.543000	358
334.414000	358
278.220000	358
277.594000	358
361.488000	409
361.320000	409
361.212000	409
361.285000	409
361.145000	409
361.014000	409
361.192000	409
361.210000	409
361.094000	409
361.079000	409
460.699000	460
460.784000	460
460.702000	460
460.949000	460
461.068000	460
460.898000	460
460.986000	460
460.646000	460
460.717000	460
460.846000	460
591.833000	512
591.701000	512
591.885000	512
591.542000	512
591.716000	512
591.811000	512
591.535000	512
592.168000	512
591.532000	512
591.167000	512
