kernel_xy_size: 37, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
8.382000	51
8.282000	51
8.287000	51
8.279000	51
8.291000	51
8.345000	51
8.358000	51
8.328000	51
8.417000	51
8.355000	51
25.344000	102
25.403000	102
25.409000	102
25.382000	102
25.367000	102
25.406000	102
25.370000	102
25.396000	102
25.388000	102
25.344000	102
52.862000	153
52.918000	153
52.848000	153
52.844000	153
52.820000	153
52.938000	153
52.866000	153
52.814000	153
52.881000	153
52.832000	153
90.866000	204
91.309000	204
90.825000	204
90.768000	204
90.820000	204
90.770000	204
90.769000	204
90.833000	204
90.844000	204
90.842000	204
140.741000	256
140.826000	256
140.838000	256
140.905000	256
140.872000	256
140.772000	256
140.851000	256
140.825000	256
140.914000	256
140.769000	256
205.436000	307
205.547000	307
205.374000	307
205.396000	307
205.548000	307
205.431000	307
205.408000	307
205.499000	307
205.405000	307
205.499000	307
300.832000	358
283.696000	358
283.636000	358
283.759000	358
283.655000	358
283.606000	358
283.701000	358
283.702000	358
283.601000	358
283.516000	358
369.181000	409
369.107000	409
369.026000	409
368.997000	409
369.108000	409
368.979000	409
368.986000	409
368.836000	409
368.968000	409
368.963000	409
470.948000	460
470.872000	460
470.803000	460
470.602000	460
470.862000	460
470.623000	460
470.825000	460
471.098000	460
470.647000	460
470.904000	460
603.265000	512
715.187000	512
603.652000	512
604.197000	512
603.917000	512
667.030000	512
603.846000	512
604.338000	512
604.051000	512
604.769000	512
