kernel_xy_size: 97, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
100.470000	7
100.400000	7
100.548000	7
100.314000	7
100.388000	7
100.249000	7
117.748000	7
100.817000	7
100.324000	7
100.349000	7
114.789000	13
114.640000	13
114.733000	13
114.794000	13
114.825000	13
114.716000	13
114.879000	13
114.921000	13
114.577000	13
122.063000	13
129.929000	19
129.842000	19
129.848000	19
129.942000	19
129.954000	19
129.971000	19
129.911000	19
129.912000	19
129.955000	19
129.900000	19
145.108000	25
145.071000	25
144.973000	25
145.183000	25
144.998000	25
144.918000	25
234.148000	25
145.035000	25
145.078000	25
145.247000	25
160.506000	31
160.563000	31
160.550000	31
160.380000	31
160.317000	31
160.892000	31
160.575000	31
160.579000	31
160.427000	31
160.422000	31
175.734000	37
175.606000	37
175.747000	37
175.720000	37
175.828000	37
175.685000	37
175.693000	37
175.714000	37
175.624000	37
175.565000	37
191.424000	43
190.978000	43
190.985000	43
191.138000	43
191.092000	43
190.913000	43
190.930000	43
191.074000	43
190.931000	43
190.962000	43
206.346000	49
206.182000	49
206.244000	49
206.383000	49
206.212000	49
206.325000	49
206.265000	49
206.351000	49
206.592000	49
234.484000	49
222.107000	55
221.698000	55
221.653000	55
221.631000	55
221.767000	55
221.692000	55
221.936000	55
221.825000	55
221.808000	55
221.810000	55
236.980000	61
236.871000	61
236.817000	61
236.835000	61
236.889000	61
236.885000	61
236.901000	61
236.884000	61
236.802000	61
236.855000	61
252.106000	67
252.182000	67
252.217000	67
252.153000	67
252.094000	67
252.268000	67
251.870000	67
252.287000	67
252.158000	67
252.251000	67
267.399000	73
267.406000	73
267.474000	73
267.549000	73
267.474000	73
267.413000	73
267.370000	73
320.062000	73
267.994000	73
267.815000	73
282.932000	79
283.206000	79
282.970000	79
282.987000	79
282.895000	79
283.036000	79
282.861000	79
282.989000	79
282.724000	79
283.018000	79
298.143000	85
298.136000	85
298.245000	85
298.080000	85
298.241000	85
298.415000	85
298.331000	85
298.329000	85
298.059000	85
298.295000	85
313.567000	91
313.502000	91
313.700000	91
313.495000	91
313.727000	91
313.461000	91
343.994000	91
313.687000	91
313.758000	91
313.753000	91
328.530000	97
328.648000	97
332.674000	97
329.410000	97
328.521000	97
328.581000	97
328.516000	97
328.471000	97
328.483000	97
328.330000	97
