kernel_xy_size: 19, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
7.155000	51
6.464000	51
6.515000	51
6.473000	51
6.492000	51
6.540000	51
6.471000	51
6.493000	51
6.473000	51
6.475000	51
18.708000	102
18.698000	102
18.687000	102
18.763000	102
18.717000	102
18.714000	102
18.715000	102
18.727000	102
18.676000	102
18.706000	102
38.577000	153
38.760000	153
38.655000	153
38.580000	153
38.573000	153
38.578000	153
38.601000	153
38.585000	153
38.569000	153
38.603000	153
66.019000	204
66.133000	204
66.055000	204
66.010000	204
66.006000	204
66.009000	204
65.965000	204
66.032000	204
65.959000	204
66.015000	204
102.192000	256
102.181000	256
102.154000	256
110.923000	256
102.253000	256
102.139000	256
102.242000	256
102.118000	256
102.222000	256
102.175000	256
149.166000	307
149.071000	307
149.051000	307
149.171000	307
149.054000	307
149.044000	307
149.135000	307
149.145000	307
149.096000	307
148.994000	307
205.622000	358
205.536000	358
205.667000	358
205.692000	358
205.714000	358
205.676000	358
205.728000	358
205.792000	358
205.654000	358
205.817000	358
268.190000	409
268.222000	409
268.123000	409
267.942000	409
268.093000	409
268.135000	409
268.067000	409
268.201000	409
268.100000	409
268.115000	409
344.190000	460
344.540000	460
344.399000	460
344.172000	460
344.403000	460
344.265000	460
392.720000	460
344.920000	460
345.194000	460
344.770000	460
449.736000	512
448.901000	512
448.224000	512
448.221000	512
448.747000	512
448.980000	512
447.743000	512
448.100000	512
448.455000	512
448.350000	512
