kernel_xy_size: 73, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
9.230000	51
8.974000	51
9.034000	51
8.939000	51
9.191000	51
9.035000	51
9.118000	51
8.987000	51
9.183000	51
9.133000	51
26.620000	102
26.720000	102
26.533000	102
26.667000	102
26.753000	102
26.648000	102
26.583000	102
26.367000	102
26.771000	102
26.713000	102
55.106000	153
55.477000	153
55.245000	153
55.122000	153
55.720000	153
54.913000	153
54.993000	153
55.311000	153
54.969000	153
55.103000	153
93.271000	204
93.751000	204
93.577000	204
93.709000	204
93.870000	204
93.766000	204
93.698000	204
94.437000	204
96.925000	204
93.607000	204
144.189000	256
144.874000	256
143.793000	256
144.176000	256
144.395000	256
146.083000	256
153.342000	256
144.477000	256
144.321000	256
144.349000	256
212.370000	307
212.709000	307
212.776000	307
213.144000	307
213.900000	307
213.061000	307
212.617000	307
213.132000	307
226.115000	307
213.823000	307
300.036000	358
298.940000	358
300.532000	358
299.382000	358
300.079000	358
299.046000	358
299.549000	358
300.406000	358
298.059000	358
298.883000	358
387.702000	409
385.778000	409
385.536000	409
386.877000	409
385.810000	409
385.362000	409
385.271000	409
384.234000	409
387.863000	409
385.119000	409
489.485000	460
489.752000	460
488.404000	460
489.277000	460
488.554000	460
488.480000	460
487.923000	460
489.093000	460
489.370000	460
488.657000	460
616.387000	512
615.246000	512
615.224000	512
616.211000	512
615.669000	512
616.053000	512
615.678000	512
615.678000	512
615.259000	512
616.001000	512
