kernel_xy_size: 97, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
128.961000	7
106.931000	7
106.848000	7
106.815000	7
106.655000	7
106.821000	7
106.859000	7
106.783000	7
106.816000	7
106.765000	7
117.048000	13
116.998000	13
117.117000	13
116.996000	13
116.991000	13
116.798000	13
117.056000	13
116.957000	13
116.903000	13
116.852000	13
233.254000	19
127.608000	19
127.388000	19
127.360000	19
126.992000	19
127.221000	19
127.092000	19
127.162000	19
127.130000	19
127.062000	19
137.355000	25
137.230000	25
137.502000	25
137.214000	25
137.262000	25
137.461000	25
137.280000	25
137.163000	25
137.289000	25
137.266000	25
147.379000	31
147.348000	31
147.564000	31
147.354000	31
147.308000	31
147.345000	31
147.455000	31
147.329000	31
147.467000	31
147.437000	31
157.660000	37
157.619000	37
157.767000	37
157.555000	37
157.851000	37
157.535000	37
157.537000	37
157.591000	37
188.136000	37
157.645000	37
167.839000	43
167.973000	43
168.030000	43
168.045000	43
167.872000	43
167.955000	43
167.973000	43
167.962000	43
167.781000	43
167.733000	43
178.055000	49
178.009000	49
178.070000	49
177.906000	49
178.088000	49
178.039000	49
178.073000	49
177.887000	49
178.021000	49
178.085000	49
237.443000	55
188.647000	55
188.126000	55
188.194000	55
188.307000	55
188.316000	55
188.310000	55
188.266000	55
188.286000	55
188.351000	55
198.516000	61
198.372000	61
272.580000	61
198.228000	61
198.527000	61
198.367000	61
198.459000	61
198.565000	61
198.301000	61
198.559000	61
208.656000	67
208.489000	67
208.726000	67
208.809000	67
208.756000	67
208.479000	67
208.507000	67
227.852000	67
208.660000	67
208.639000	67
218.905000	73
218.929000	73
218.873000	73
218.697000	73
218.743000	73
218.930000	73
218.917000	73
218.887000	73
218.640000	73
218.672000	73
229.012000	79
228.978000	79
228.958000	79
229.102000	79
229.096000	79
228.905000	79
228.889000	79
229.011000	79
228.946000	79
228.943000	79
239.196000	85
239.073000	85
239.252000	85
239.096000	85
239.173000	85
238.899000	85
239.005000	85
239.216000	85
239.020000	85
239.157000	85
249.478000	91
249.330000	91
249.301000	91
249.382000	91
294.812000	91
249.737000	91
249.378000	91
249.541000	91
249.397000	91
249.367000	91
259.637000	97
259.608000	97
259.672000	97
259.691000	97
259.540000	97
259.380000	97
274.953000	97
259.653000	97
259.681000	97
259.672000	97
