kernel_xy_size: 85, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
9.905000	51
9.289000	51
9.550000	51
9.371000	51
9.405000	51
9.387000	51
9.393000	51
9.227000	51
9.331000	51
9.340000	51
27.517000	102
27.266000	102
27.791000	102
27.452000	102
27.622000	102
27.508000	102
27.446000	102
27.603000	102
27.661000	102
27.489000	102
57.747000	153
57.580000	153
58.019000	153
57.680000	153
58.061000	153
58.126000	153
57.148000	153
57.892000	153
57.594000	153
56.809000	153
96.604000	204
97.012000	204
96.716000	204
97.809000	204
96.903000	204
97.397000	204
96.962000	204
97.338000	204
96.633000	204
97.112000	204
149.337000	256
150.587000	256
149.957000	256
150.545000	256
150.175000	256
149.956000	256
150.428000	256
149.355000	256
150.232000	256
150.279000	256
223.581000	307
222.477000	307
222.212000	307
221.971000	307
251.501000	307
222.956000	307
223.201000	307
221.640000	307
224.405000	307
222.811000	307
318.245000	358
317.235000	358
318.095000	358
317.954000	358
317.377000	358
377.620000	358
317.249000	358
317.883000	358
318.402000	358
319.411000	358
403.350000	409
402.051000	409
404.183000	409
404.075000	409
404.749000	409
403.645000	409
403.064000	409
404.420000	409
404.976000	409
404.408000	409
509.477000	460
509.275000	460
510.730000	460
510.874000	460
508.334000	460
510.087000	460
509.691000	460
510.166000	460
508.675000	460
508.540000	460
639.773000	512
641.510000	512
640.074000	512
640.932000	512
642.113000	512
640.646000	512
641.004000	512
639.687000	512
639.312000	512
640.871000	512
