kernel_xy_size: 25, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
8.027000	51
8.032000	51
7.709000	51
7.308000	51
7.306000	51
7.351000	51
7.329000	51
7.322000	51
7.312000	51
7.349000	51
21.776000	102
21.777000	102
21.779000	102
21.780000	102
21.750000	102
21.770000	102
21.757000	102
21.778000	102
21.749000	102
21.769000	102
45.176000	153
45.149000	153
45.190000	153
45.201000	153
45.175000	153
45.161000	153
45.176000	153
45.149000	153
45.161000	153
45.186000	153
77.813000	204
77.414000	204
77.442000	204
77.432000	204
77.438000	204
77.443000	204
77.480000	204
77.464000	204
77.452000	204
77.392000	204
120.011000	256
120.066000	256
119.998000	256
120.005000	256
119.924000	256
162.889000	256
120.490000	256
120.032000	256
120.015000	256
120.055000	256
175.233000	307
175.188000	307
175.249000	307
175.225000	307
175.151000	307
175.209000	307
175.222000	307
175.137000	307
175.229000	307
175.057000	307
241.581000	358
241.536000	358
241.662000	358
241.515000	358
241.643000	358
241.534000	358
241.592000	358
241.683000	358
241.673000	358
241.815000	358
314.874000	409
314.769000	409
314.725000	409
314.695000	409
314.488000	409
314.698000	409
314.667000	409
314.545000	409
314.661000	409
314.648000	409
402.788000	460
404.188000	460
403.725000	460
402.943000	460
403.374000	460
403.311000	460
402.406000	460
402.833000	460
402.614000	460
402.973000	460
520.721000	512
520.581000	512
520.558000	512
520.052000	512
520.464000	512
520.026000	512
565.963000	512
520.888000	512
520.510000	512
521.454000	512
