kernel_xy_size: 49, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
8.404000	51
8.403000	51
8.395000	51
8.426000	51
8.424000	51
8.407000	51
8.352000	51
8.431000	51
8.356000	51
8.361000	51
25.434000	102
25.509000	102
25.418000	102
25.557000	102
25.409000	102
25.417000	102
25.598000	102
25.417000	102
25.450000	102
25.522000	102
52.925000	153
155.762000	153
53.156000	153
52.999000	153
52.876000	153
52.901000	153
52.918000	153
52.929000	153
53.007000	153
52.959000	153
90.909000	204
90.910000	204
90.874000	204
90.904000	204
90.917000	204
90.891000	204
90.979000	204
90.851000	204
90.867000	204
90.856000	204
140.914000	256
140.994000	256
140.914000	256
140.898000	256
140.911000	256
140.846000	256
141.396000	256
146.365000	256
140.948000	256
140.898000	256
205.640000	307
205.634000	307
205.667000	307
205.600000	307
280.879000	307
206.533000	307
205.615000	307
205.772000	307
205.596000	307
205.627000	307
284.366000	358
284.363000	358
284.395000	358
284.275000	358
284.234000	358
284.214000	358
284.285000	358
284.317000	358
284.294000	358
284.349000	358
369.025000	409
368.984000	409
369.144000	409
468.891000	409
370.052000	409
369.297000	409
369.379000	409
369.397000	409
369.578000	409
369.441000	409
470.919000	460
470.866000	460
471.600000	460
470.651000	460
470.656000	460
470.694000	460
471.031000	460
470.670000	460
471.038000	460
470.782000	460
603.047000	512
603.645000	512
603.402000	512
603.343000	512
603.588000	512
603.557000	512
603.226000	512
603.412000	512
603.491000	512
603.178000	512
