kernel_xy_size: 97, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
42.390000	7
42.392000	7
42.956000	7
42.433000	7
42.373000	7
42.476000	7
42.363000	7
42.442000	7
42.411000	7
42.371000	7
49.043000	13
48.888000	13
48.964000	13
117.781000	13
49.300000	13
48.977000	13
48.970000	13
49.035000	13
48.887000	13
48.853000	13
55.568000	19
55.490000	19
55.508000	19
55.582000	19
55.565000	19
55.552000	19
55.595000	19
55.621000	19
55.466000	19
55.545000	19
62.141000	25
62.175000	25
62.224000	25
62.099000	25
62.127000	25
62.212000	25
62.272000	25
62.189000	25
62.066000	25
62.049000	25
68.813000	31
68.880000	31
69.931000	31
68.670000	31
68.883000	31
68.789000	31
68.738000	31
68.759000	31
68.798000	31
68.883000	31
75.309000	37
75.470000	37
75.477000	37
75.477000	37
75.373000	37
75.438000	37
75.469000	37
75.322000	37
75.840000	37
75.431000	37
82.138000	43
81.986000	43
82.094000	43
82.036000	43
82.258000	43
81.905000	43
81.964000	43
81.975000	43
82.007000	43
81.936000	43
113.206000	49
88.994000	49
88.571000	49
88.607000	49
88.564000	49
88.544000	49
88.615000	49
88.572000	49
88.550000	49
89.052000	49
95.282000	55
95.248000	55
95.296000	55
95.299000	55
95.311000	55
95.307000	55
95.284000	55
95.306000	55
95.274000	55
95.239000	55
101.942000	61
101.887000	61
102.013000	61
101.804000	61
210.631000	61
101.862000	61
102.099000	61
101.972000	61
101.915000	61
101.870000	61
108.626000	67
108.540000	67
108.545000	67
108.560000	67
108.492000	67
108.500000	67
108.500000	67
108.563000	67
108.603000	67
108.510000	67
115.140000	73
115.063000	73
115.338000	73
115.074000	73
115.169000	73
114.991000	73
115.002000	73
114.985000	73
114.979000	73
114.987000	73
121.710000	79
213.616000	79
121.857000	79
121.735000	79
121.774000	79
121.756000	79
121.782000	79
121.761000	79
121.680000	79
121.837000	79
128.381000	85
128.300000	85
128.336000	85
128.372000	85
128.293000	85
128.361000	85
128.412000	85
128.364000	85
128.414000	85
231.473000	85
135.402000	91
134.994000	91
134.905000	91
134.937000	91
134.921000	91
134.974000	91
134.885000	91
135.069000	91
135.007000	91
135.057000	91
140.041000	97
140.080000	97
140.043000	97
140.025000	97
140.091000	97
139.845000	97
139.981000	97
139.961000	97
139.990000	97
139.935000	97
