kernel_xy_size: 13, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
6.371000	51
5.929000	51
5.667000	51
5.677000	51
5.661000	51
5.672000	51
5.678000	51
5.666000	51
5.718000	51
5.666000	51
15.677000	102
15.658000	102
15.698000	102
15.687000	102
15.700000	102
15.690000	102
15.702000	102
15.695000	102
15.695000	102
15.713000	102
32.068000	153
32.023000	153
32.026000	153
32.031000	153
32.041000	153
32.065000	153
32.053000	153
32.047000	153
32.025000	153
32.035000	153
54.564000	204
54.531000	204
54.555000	204
54.546000	204
54.587000	204
54.551000	204
54.605000	204
54.618000	204
54.585000	204
54.583000	204
84.312000	256
84.283000	256
84.402000	256
84.317000	256
136.803000	256
84.775000	256
84.326000	256
84.331000	256
84.276000	256
84.304000	256
122.985000	307
122.983000	307
123.030000	307
123.018000	307
123.009000	307
123.020000	307
123.042000	307
122.993000	307
123.044000	307
123.055000	307
169.611000	358
169.717000	358
169.573000	358
199.151000	358
169.634000	358
169.714000	358
169.627000	358
169.871000	358
169.642000	358
169.691000	358
221.324000	409
221.454000	409
221.556000	409
221.435000	409
221.506000	409
221.408000	409
221.443000	409
221.264000	409
297.535000	409
221.773000	409
286.073000	460
286.619000	460
286.818000	460
286.139000	460
286.276000	460
286.018000	460
286.496000	460
286.234000	460
286.455000	460
286.140000	460
376.747000	512
376.177000	512
376.966000	512
375.960000	512
376.438000	512
376.538000	512
376.742000	512
376.070000	512
377.162000	512
376.147000	512
