kernel_xy_size: 97, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
198.180000	7
198.039000	7
198.252000	7
198.061000	7
198.126000	7
197.972000	7
198.141000	7
197.861000	7
197.264000	7
197.974000	7
224.211000	13
224.270000	13
224.207000	13
224.016000	13
294.663000	13
224.772000	13
224.221000	13
224.435000	13
224.437000	13
224.424000	13
250.860000	19
250.931000	19
250.779000	19
250.604000	19
250.802000	19
249.844000	19
250.670000	19
250.635000	19
250.629000	19
250.724000	19
276.967000	25
277.329000	25
277.229000	25
277.112000	25
277.300000	25
277.284000	25
277.144000	25
276.553000	25
277.367000	25
276.458000	25
303.856000	31
303.955000	31
303.751000	31
303.919000	31
303.777000	31
303.962000	31
303.875000	31
304.002000	31
303.903000	31
303.839000	31
330.634000	37
330.783000	37
330.500000	37
330.396000	37
330.602000	37
330.533000	37
330.443000	37
330.577000	37
330.545000	37
330.713000	37
357.231000	43
357.478000	43
357.307000	43
357.000000	43
357.299000	43
357.372000	43
357.359000	43
356.887000	43
357.317000	43
357.316000	43
384.001000	49
397.450000	49
384.946000	49
384.196000	49
384.126000	49
384.168000	49
384.186000	49
443.368000	49
384.112000	49
384.192000	49
411.042000	55
410.763000	55
410.971000	55
410.848000	55
410.773000	55
410.818000	55
411.330000	55
410.915000	55
410.764000	55
411.006000	55
437.542000	61
437.443000	61
459.312000	61
438.363000	61
437.748000	61
437.622000	61
437.859000	61
437.517000	61
437.462000	61
455.344000	61
464.734000	67
464.432000	67
464.289000	67
464.356000	67
505.668000	67
464.272000	67
464.454000	67
464.473000	67
464.080000	67
464.417000	67
491.011000	73
491.034000	73
550.772000	73
491.705000	73
491.185000	73
491.357000	73
491.166000	73
491.027000	73
490.941000	73
490.963000	73
517.672000	79
517.651000	79
517.725000	79
517.624000	79
517.690000	79
517.778000	79
517.712000	79
517.725000	79
517.732000	79
517.777000	79
544.421000	85
544.535000	85
544.464000	85
544.550000	85
544.600000	85
544.358000	85
544.452000	85
544.454000	85
544.521000	85
544.422000	85
571.355000	91
571.125000	91
571.208000	91
571.290000	91
571.114000	91
571.178000	91
571.241000	91
571.336000	91
571.258000	91
571.243000	91
595.016000	97
595.009000	97
595.174000	97
594.862000	97
594.979000	97
594.912000	97
594.930000	97
594.992000	97
594.910000	97
594.875000	97
