kernel_xy_size: 97, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
10.000000	51
9.770000	51
9.855000	51
9.757000	51
9.832000	51
9.929000	51
9.975000	51
9.785000	51
9.805000	51
9.929000	51
29.242000	102
29.361000	102
29.415000	102
29.551000	102
29.225000	102
29.309000	102
28.981000	102
29.434000	102
29.330000	102
29.578000	102
60.536000	153
60.502000	153
60.194000	153
59.889000	153
60.028000	153
60.367000	153
60.391000	153
60.145000	153
60.597000	153
60.206000	153
102.586000	204
103.840000	204
104.276000	204
104.422000	204
198.451000	204
103.560000	204
103.170000	204
104.497000	204
104.517000	204
103.628000	204
160.477000	256
159.729000	256
160.755000	256
160.235000	256
160.611000	256
159.939000	256
160.508000	256
160.792000	256
161.025000	256
160.521000	256
234.378000	307
232.504000	307
231.988000	307
254.573000	307
232.087000	307
231.515000	307
231.531000	307
231.365000	307
233.086000	307
232.834000	307
341.442000	358
341.690000	358
341.021000	358
341.474000	358
340.923000	358
341.762000	358
341.781000	358
341.939000	358
341.845000	358
341.187000	358
424.286000	409
424.782000	409
425.095000	409
424.216000	409
423.083000	409
424.097000	409
424.630000	409
424.298000	409
423.624000	409
424.886000	409
531.540000	460
534.250000	460
530.111000	460
531.377000	460
529.718000	460
531.806000	460
531.218000	460
531.516000	460
530.255000	460
530.509000	460
679.172000	512
682.149000	512
680.929000	512
683.412000	512
683.098000	512
791.665000	512
678.973000	512
684.356000	512
681.277000	512
681.789000	512
