kernel_xy_size: 97, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
668.978000	7
668.574000	7
668.727000	7
668.720000	7
668.966000	7
669.200000	7
668.866000	7
668.678000	7
669.019000	7
668.584000	7
709.413000	13
709.207000	13
709.026000	13
709.363000	13
709.445000	13
709.568000	13
709.506000	13
709.477000	13
709.220000	13
709.302000	13
749.791000	19
749.948000	19
749.737000	19
749.951000	19
750.058000	19
749.820000	19
749.734000	19
750.137000	19
749.942000	19
749.981000	19
790.253000	25
790.410000	25
789.984000	25
790.028000	25
790.284000	25
790.148000	25
790.376000	25
790.144000	25
789.975000	25
790.060000	25
830.688000	31
830.734000	31
830.959000	31
831.075000	31
870.517000	31
831.512000	31
831.760000	31
830.988000	31
831.037000	31
830.596000	31
871.290000	37
871.277000	37
871.050000	37
871.451000	37
871.348000	37
871.572000	37
871.424000	37
871.274000	37
871.404000	37
871.357000	37
912.067000	43
912.332000	43
912.333000	43
912.462000	43
912.289000	43
912.060000	43
912.107000	43
911.663000	43
911.917000	43
912.063000	43
952.745000	49
952.906000	49
952.114000	49
952.506000	49
952.448000	49
952.676000	49
953.019000	49
952.538000	49
952.605000	49
953.052000	49
1102.191000	55
994.147000	55
993.949000	55
993.686000	55
992.941000	55
993.318000	55
993.279000	55
992.764000	55
992.943000	55
993.427000	55
1033.901000	61
1033.876000	61
1033.553000	61
1033.669000	61
1034.180000	61
1033.589000	61
1033.667000	61
1033.887000	61
1033.920000	61
1033.970000	61
1074.789000	67
1075.124000	67
1074.651000	67
1075.174000	67
1074.842000	67
1074.354000	67
1074.831000	67
1074.828000	67
1074.516000	67
1074.927000	67
1115.314000	73
1115.385000	73
1115.640000	73
1115.135000	73
1114.850000	73
1115.768000	73
1115.676000	73
1115.438000	73
1115.563000	73
1115.705000	73
1156.208000	79
1210.207000	79
1156.865000	79
1156.331000	79
1156.063000	79
1156.334000	79
1156.036000	79
1156.211000	79
1156.023000	79
1201.018000	79
1197.858000	85
1196.920000	85
1196.834000	85
1196.524000	85
1196.822000	85
1197.249000	85
1196.970000	85
1196.950000	85
1197.072000	85
1196.650000	85
1237.615000	91
1237.436000	91
1237.840000	91
1237.584000	91
1238.118000	91
1309.021000	91
1237.795000	91
1237.608000	91
1237.376000	91
1237.860000	91
1278.070000	97
1277.982000	97
1278.206000	97
1278.236000	97
1278.226000	97
1278.195000	97
1278.657000	97
1278.294000	97
1278.274000	97
1278.293000	97
