kernel_xy_size: 55, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
9.214000	51
8.948000	51
8.531000	51
8.545000	51
8.532000	51
8.553000	51
8.536000	51
8.497000	51
8.494000	51
8.518000	51
25.714000	102
25.577000	102
25.592000	102
25.623000	102
25.595000	102
25.590000	102
25.590000	102
25.605000	102
25.571000	102
25.585000	102
53.078000	153
53.025000	153
53.175000	153
53.070000	153
53.059000	153
53.143000	153
53.078000	153
53.130000	153
53.068000	153
53.146000	153
91.047000	204
91.005000	204
91.023000	204
91.014000	204
91.069000	204
90.989000	204
90.950000	204
90.983000	204
118.173000	204
91.476000	204
141.025000	256
141.086000	256
141.084000	256
141.189000	256
141.027000	256
141.624000	256
141.148000	256
141.021000	256
141.053000	256
141.147000	256
206.186000	307
206.333000	307
206.087000	307
239.689000	307
206.533000	307
205.966000	307
206.223000	307
206.151000	307
206.365000	307
206.728000	307
287.382000	358
287.330000	358
286.904000	358
287.387000	358
287.259000	358
287.494000	358
287.245000	358
286.792000	358
287.151000	358
287.200000	358
371.383000	409
370.924000	409
370.838000	409
370.944000	409
371.385000	409
371.038000	409
370.745000	409
371.721000	409
371.309000	409
371.159000	409
472.216000	460
472.624000	460
534.593000	460
472.644000	460
472.220000	460
472.285000	460
472.360000	460
472.065000	460
471.617000	460
472.104000	460
603.584000	512
603.587000	512
603.711000	512
603.786000	512
603.630000	512
603.746000	512
603.653000	512
603.857000	512
603.789000	512
603.518000	512
