kernel_xy_size: 7, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
5.995000	51
5.519000	51
5.489000	51
5.451000	51
4.810000	51
4.845000	51
4.817000	51
4.821000	51
4.855000	51
4.850000	51
12.603000	102
12.596000	102
12.602000	102
12.629000	102
12.622000	102
12.595000	102
12.657000	102
12.606000	102
12.601000	102
12.666000	102
25.530000	153
25.475000	153
25.517000	153
25.504000	153
25.503000	153
25.515000	153
25.509000	153
25.510000	153
25.550000	153
25.601000	153
43.312000	204
43.263000	204
43.233000	204
43.222000	204
43.226000	204
43.277000	204
43.254000	204
43.302000	204
115.038000	204
43.936000	204
66.554000	256
66.630000	256
66.635000	256
66.585000	256
66.579000	256
66.572000	256
66.574000	256
66.597000	256
66.580000	256
66.602000	256
97.416000	307
96.971000	307
96.958000	307
96.962000	307
97.148000	307
96.959000	307
96.977000	307
97.047000	307
97.060000	307
96.993000	307
133.697000	358
133.601000	358
133.543000	358
133.596000	358
133.439000	358
133.466000	358
133.516000	358
133.411000	358
133.529000	358
133.465000	358
174.606000	409
174.570000	409
174.579000	409
174.496000	409
174.558000	409
174.669000	409
174.659000	409
174.678000	409
174.735000	409
174.668000	409
227.188000	460
227.130000	460
227.518000	460
227.820000	460
227.745000	460
315.858000	460
228.640000	460
228.358000	460
227.278000	460
228.054000	460
305.629000	512
304.785000	512
305.202000	512
305.700000	512
304.885000	512
305.290000	512
336.848000	512
306.421000	512
305.184000	512
305.949000	512
